      5,594,419  GC Heap bytes
         63,830  GC Heap objects

   Object Bytes     Count  Type
             80         1  Set<System.Windows.Data.BindingGroup>  [PresentationFramework.dll]
             80         1  Set<System.Windows.Data.BindingExpressionBase>  [PresentationFramework.dll]
             80         1  System.Collections.Generic.Dictionary<MS.Internal.Data.DataBindEngine+ValueConverterTableKey,System.Windows.Data.IValueConverter>  [System.Private.CoreLib.dll]
             80         1  System.Collections.Generic.Dictionary<MS.Internal.Data.AccessorTable+AccessorTableKey,MS.Internal.Data.AccessorInfo>  [System.Private.CoreLib.dll]
             80         1  MS.Internal.WeakEventTable  [WindowsBase.dll]
             80         1  System.Collections.Generic.Dictionary<MS.Internal.DpiUtil+HwndDpiInfo,MS.Internal.SecurityCriticalDataClass<MS.Win32.HwndWrapper>>  [System.Private.CoreLib.dll]
             80         1  System.Collections.Generic.Dictionary<MS.Internal.DpiUtil+HwndDpiInfo,MS.Win32.HwndWrapperHook>  [System.Private.CoreLib.dll]
             80         1  _DragDropProcess  [PresentationFramework.dll]
             80         1  System.Windows.Controls.SelectedItemCollection  [PresentationFramework.dll]
             80         1  MS.Internal.Documents.TextParagraphView  [PresentationFramework.dll]
             80         1  System.Collections.Generic.Dictionary<System.Object,System.Windows.Input.PenContexts>  [System.Private.CoreLib.dll]
             80         1  System.Windows.Input.PenContexts  [PresentationCore.dll]
             80         1  System.Collections.Generic.Dictionary<System.Int32,System.Windows.Input.StylusDevice>  [System.Private.CoreLib.dll]
             80         1  System.Collections.Generic.Dictionary<MS.Internal.DpiScale2,System.Windows.Media.Matrix>  [System.Private.CoreLib.dll]
             80         1  System.Collections.Generic.Dictionary<System.Windows.Media.Typeface,MS.Internal.SizeLimitedCache+Node<System.Windows.Media.Typeface,MS.Internal.Shaping.TypefaceMap>>  [System.Private.CoreLib.dll]
             80         1  System.Collections.Generic.Dictionary<System.Uri,MS.Internal.SizeLimitedCache+Node<System.Uri,System.Byte[]>>  [System.Private.CoreLib.dll]
             80         1  System.Collections.Generic.Dictionary<System.Windows.Markup.XmlLanguage,System.String>  [System.Private.CoreLib.dll]
             80         1  System.Threading.Tasks.Task<System.ValueTuple<System.Int32,System.Int32,System.Int32,System.Boolean>>  [System.Private.CoreLib.dll]
             80         1  System.Collections.Generic.Dictionary<System.Windows.Markup.XmlLanguage,System.UInt16[]>  [System.Private.CoreLib.dll]
             80         1  MS.Internal.Documents.ScrollData  [PresentationFramework.dll]
             80         1  System.Collections.Generic.Dictionary<System.String,System.TimeZoneInfo>  [System.Private.CoreLib.dll]
             80         1  CallbackNode  [System.Private.CoreLib.dll]
             80         1  System.Windows.Media.Animation.DoubleAnimation  [PresentationCore.dll]
             80         1  RootData  [PresentationCore.dll]
             76         1  Standard.HT<,>  [PresentationFramework.dll]
             72        85  System.Collections.Hashtable  [System.Private.CoreLib.dll]
             72        85  MS.Utility.ThreeObjectMap  [WindowsBase.dll]
             72        40  System.Windows.ClassHandlers[]  [PresentationCore.dll]
             72        38  System.Windows.TriggerCondition[]  [PresentationFramework.dll]
             72        25  System.Collections.Generic.KeyValuePair<System.Int32,System.Object>[]  [System.Private.CoreLib.dll]
             72        23  CellCache[]  [PresentationFramework.dll]
             72        22  System.Reflection.RtFieldInfo  [System.Private.CoreLib.dll]
             72        19  MS.Utility.ThreeItemList<System.Windows.Freezable+FreezableContextPair>  [WindowsBase.dll]
             72        17  System.Xaml.XamlDirective  [System.Xaml.dll]
             72        15  System.Reflection.Emit.DynamicResolver  [System.Private.CoreLib.dll]
             72        13  System.Windows.ResourceReferenceExpression  [PresentationFramework.dll]
             72        12  System.Windows.TemplateContent  [PresentationFramework.dll]
             72        11  MS.Utility.ThreeItemList<System.Windows.ChildRecord>  [WindowsBase.dll]
             72        10  System.Threading.Thread  [System.Private.CoreLib.dll]
             72         8  System.Windows.Media.Matrix  [WindowsBase.dll]
             72         6  System.Xaml.XamlType  [System.Xaml.dll]
             72         5  System.Threading.ThreadPoolWorkQueueThreadLocals  [System.Private.CoreLib.dll]
             72         5  MS.Utility.SixItemList<System.Windows.RoutedEvent>  [WindowsBase.dll]
             72         4  System.Guid[]  [System.Private.CoreLib.dll]
             72         4  System.Configuration.SectionRecord  [System.Configuration.ConfigurationManager.dll]
             72         4  MS.Utility.ThreeItemList<System.Windows.ContainerDependent>  [WindowsBase.dll]
             72         4  System.Delegate[]  [System.Private.CoreLib.dll]
             72         2  System.Configuration.ConfigurationValues  [System.Configuration.ConfigurationManager.dll]
             72         2  MS.Utility.ThreeItemList<System.Windows.WeakEventManager+Listener>  [WindowsBase.dll]
             72         2  Entry<SwitchBlade.Contracts.WindowItem>[]  [System.Private.CoreLib.dll]
             72         1  System.AppDomain  [System.Private.CoreLib.dll]
             72         1  CachedData  [System.Private.CoreLib.dll]
             72         1  System.Threading.Tasks.Task<System.Threading.Tasks.VoidTaskResult>  [System.Private.CoreLib.dll]
             72         1  System.Windows.FluentThemeState  [PresentationFramework.dll]
             72         1  System.Windows.Shapes.BoxedMatrix  [PresentationFramework.dll]
             72         1  MS.Internal.Text.TypographyProperties  [PresentationFramework.dll]
             72         1  <CppImplementationDetails>.VERSION2OS2_CONTROL$$BY0A@E  [DirectWriteForwarder.dll]
             72         1  WindowClass  [System.Windows.Forms.dll]
             72         1  System.Windows.Automation.CacheRequest  [UIAutomationClient.dll]
             72         1  UiaCacheRequest  [UIAutomationClient.dll]
             72         1  Microsoft.Extensions.DependencyInjection.ServiceProvider  [Microsoft.Extensions.DependencyInjection.dll]
             72         1  SwitchBlade.Plugins.Chrome.ChromeTabFinder  [SwitchBlade.Plugins.Chrome.dll]
             72         1  SwitchBlade.Plugins.NotepadPlusPlus.NotepadPlusPlusPlugin  [SwitchBlade.Plugins.NotepadPlusPlus.dll]
             72         1  SwitchBlade.Plugins.WindowsTerminal.WindowsTerminalPlugin  [SwitchBlade.Plugins.WindowsTerminal.dll]
             72         1  SwitchBlade.Services.WindowOrchestrationService  [SwitchBlade.dll]
             72         1  System.Windows.Shell.WindowChrome  [PresentationFramework.dll]
             72         1  System.Windows.Input.InputMethod  [PresentationCore.dll]
             72         1  System.Windows.Documents.TextTreeTextNode  [PresentationFramework.dll]
             72         1  Entry<System.Windows.Media.ICompositionTarget>[]  [System.Private.CoreLib.dll]
             72         1  MS.Utility.ThreeItemList<System.Windows.RoutedEventHandlerInfo>  [WindowsBase.dll]
             72         1  MS.Internal.FontFace.CompositeFontInfo  [PresentationCore.dll]
             72         1  MS.Utility.SixItemList<System.Object>  [WindowsBase.dll]
             64       596  System.EventHandler  [System.Private.CoreLib.dll]
             64       349  System.Windows.PropertyChangedCallback  [WindowsBase.dll]
             64       263  SourceValueState[]  [PresentationFramework.dll]
             64       260  ProxyRaiseEvents  [UIAutomationClientsideProviders.dll]
             64       216  System.EventHandler<System.ComponentModel.PropertyChangedEventArgs>  [System.Private.CoreLib.dll]
             64       143  System.Windows.ValidateValueCallback  [WindowsBase.dll]
             64       113  System.Windows.Data.Binding  [PresentationFramework.dll]
             64       112  System.Windows.PropertyPath  [PresentationFramework.dll]
             64        87  System.Func<System.Object>  [System.Private.CoreLib.dll]
             64        57  LazyTypeOf  [PresentationFramework.dll]
             64        57  System.Windows.Input.ExecutedRoutedEventHandler  [PresentationCore.dll]
             64        51  System.Func<System.Object,System.Object>  [System.Private.CoreLib.dll]
             64        47  System.Windows.CoerceValueCallback  [WindowsBase.dll]
             64        44  System.Windows.Baml2006.WpfKnownTypeInvoker  [PresentationFramework.dll]
             64        44  System.Collections.Specialized.NotifyCollectionChangedEventHandler  [System.ObjectModel.dll]
             64        40  System.Windows.Automation.ClientSideProviderFactoryCallback  [UIAutomationClient.dll]
             64        37  MS.Utility.SingleItemList<System.Windows.PropertyValue>  [WindowsBase.dll]
             64        36  System.Action<System.Object,System.Object>  [System.Private.CoreLib.dll]
             64        34  InvokeFunc_RefArgs  [System.Private.CoreLib.dll]
             64        34  System.Windows.Input.MouseButtonEventHandler  [PresentationCore.dll]
             64        34  System.EventHandler<MS.Internal.Data.BindingValueChangedEventArgs>  [System.Private.CoreLib.dll]
             64        33  GetProperty  [PresentationCore.dll]
             64        32  System.Func<System.Type,System.ComponentModel.TypeConverter>  [System.Private.CoreLib.dll]
             64        30  System.Windows.Threading.DispatcherOperationCallback  [WindowsBase.dll]
             64        29  System.Windows.TemplateNameScope  [PresentationFramework.dll]
             64        28  System.Windows.Input.StylusEventHandler  [PresentationCore.dll]
             64        24  MS.Win32.HwndWrapperHook  [WindowsBase.dll]
             64        24  System.Func<System.Xaml.XamlType>  [System.Private.CoreLib.dll]
             64        24  System.Windows.Input.CanExecuteRoutedEventHandler  [PresentationCore.dll]
             64        22  System.ComponentModel.PropertyChangedEventHandler  [System.ObjectModel.dll]
             64        21  WrapObject  [PresentationCore.dll]
             64        21  MS.Internal.Automation.WrapObjectClientSide  [UIAutomationClient.dll]
             64        20  System.EventHandler<System.Windows.Input.TouchEventArgs>  [System.Private.CoreLib.dll]
             64        19  System.EventHandler<System.EventArgs>  [System.Private.CoreLib.dll]
             64        18  System.Reflection.RuntimeCustomAttributeData  [System.Private.CoreLib.dll]
             64        18  System.Windows.DragEventHandler  [PresentationCore.dll]
             64        17  Node<Microsoft.Extensions.DependencyInjection.ServiceLookup.ServiceCacheKey,Microsoft.Extensions.DependencyInjection.ServiceLookup.ServiceCallSite>  [System.Collections.Concurrent.dll]
             64        17  System.Windows.Input.MouseEventHandler  [PresentationCore.dll]
             64        17  System.Windows.DependencyPropertyChangedEventHandler  [WindowsBase.dll]
             64        16  System.Threading.ContextCallback  [System.Private.CoreLib.dll]
             64        16  OverrideEventProvider  [System.Private.CoreLib.dll]
             64        16  MS.Internal.Data.BindingCollectionChangedCallback  [PresentationFramework.dll]
             64        16  MS.Internal.Collections.ItemInsertedHandler  [PresentationCore.dll]
             64        16  MS.Internal.Collections.ItemRemovedHandler  [PresentationCore.dll]
             64        15  MS.Internal.ContentType  [WindowsBase.dll]
             64        15  System.Windows.Input.KeyboardFocusChangedEventHandler  [PresentationCore.dll]
             64        15  MS.Internal.Automation.AutomationPropertyConverter  [UIAutomationClient.dll]
             64        14  Microsoft.Extensions.DependencyInjection.ServiceDescriptor  [Microsoft.Extensions.DependencyInjection.Abstractions.dll]
             64        12  WndProc  [WindowsBase.dll]
             64        11  System.Func<Microsoft.Extensions.DependencyInjection.ServiceLookup.ServiceProviderEngineScope,System.Object>  [System.Private.CoreLib.dll]
             64        10  ObjectEntry[]  [System.Windows.Forms.dll]
             64        10  System.Windows.Input.KeyEventHandler  [PresentationCore.dll]
             64         9  System.Windows.RoutedEventHandler  [PresentationCore.dll]
             64         9  System.Func<System.Object[],System.Object>  [System.Private.CoreLib.dll]
             64         9  System.Action  [System.Private.CoreLib.dll]
             64         9  System.Windows.Input.ProcessInputEventHandler  [PresentationCore.dll]
             64         9  Standard.MessageHandler  [PresentationFramework.dll]
             64         8  System.Func<System.Diagnostics.Tracing.EventSource>  [System.Private.CoreLib.dll]
             64         8  System.Diagnostics.Tracing.EventPipeEventProvider  [System.Private.CoreLib.dll]
             64         8  System.Func<System.Xaml.XamlDirective>  [System.Private.CoreLib.dll]
             64         8  System.Windows.Input.StylusButtonEventHandler  [PresentationCore.dll]
             64         7  System.Diagnostics.TraceRefreshEventHandler  [WindowsBase.dll]
             64         7  System.Windows.Controls.ContextMenuEventHandler  [PresentationFramework.dll]
             64         7  System.Windows.Input.PreProcessInputEventHandler  [PresentationCore.dll]
             64         7  System.EventHandler<System.Collections.Specialized.NotifyCollectionChangedEventArgs>  [System.Private.CoreLib.dll]
             64         6  System.Comparison<System.Windows.Controls.DefinitionBase>  [System.Private.CoreLib.dll]
             64         6  MS.Internal.GetTraceSourceDelegate  [WindowsBase.dll]
             64         6  MS.Internal.ClearTraceSourceDelegate  [WindowsBase.dll]
             64         6  System.Resources.RuntimeResourceSet  [System.Private.CoreLib.dll]
             64         6  MS.Win32.HwndWrapper  [WindowsBase.dll]
             64         6  System.Windows.Forms.DragEventHandler  [System.Windows.Forms.dll]
             64         6  System.Windows.Forms.MouseEventHandler  [System.Windows.Forms.dll]
             64         5  System.Collections.Generic.SortedList<System.Int32,System.Windows.Threading.PriorityChain<System.Windows.Threading.DispatcherOperation>>  [System.Collections.dll]
             64         5  MS.Win32.MessageOnlyHwndWrapper  [WindowsBase.dll]
             64         5  ConfigRecordStreamInfo  [System.Configuration.ConfigurationManager.dll]
             64         5  System.Action<System.Int32,System.Int32>  [System.Private.CoreLib.dll]
             64         5  System.Windows.Input.QueryCursorEventHandler  [PresentationCore.dll]
             64         5  System.Windows.Input.TextCompositionEventHandler  [PresentationCore.dll]
             64         5  System.Windows.Interop.HwndSourceHook  [PresentationCore.dll]
             64         5  System.Windows.Documents.TextContainerChangeEventHandler  [PresentationFramework.dll]
             64         4  System.AssemblyLoadEventHandler  [System.Private.CoreLib.dll]
             64         4  System.Xaml.XamlNodeAddDelegate  [System.Xaml.dll]
             64         4  System.Xaml.XamlLineInfoAddDelegate  [System.Xaml.dll]
             64         4  System.Func<System.Xaml.XamlMember>  [System.Private.CoreLib.dll]
             64         4  System.Windows.Forms.KeyEventHandler  [System.Windows.Forms.dll]
             64         4  System.Collections.Generic.HashSet<SwitchBlade.Contracts.WindowItem>  [System.Private.CoreLib.dll]
             64         4  System.Collections.Generic.HashSet<System.String>  [System.Private.CoreLib.dll]
             64         4  System.Windows.Input.MouseWheelEventHandler  [PresentationCore.dll]
             64         4  System.Windows.Input.StylusDownEventHandler  [PresentationCore.dll]
             64         4  System.Windows.Input.StylusSystemGestureEventHandler  [PresentationCore.dll]
             64         4  System.Windows.QueryContinueDragEventHandler  [PresentationCore.dll]
             64         4  System.Windows.GiveFeedbackEventHandler  [PresentationCore.dll]
             64         4  System.Windows.Controls.ToolTipEventHandler  [PresentationFramework.dll]
             64         4  System.Windows.Input.NotifyInputEventHandler  [PresentationCore.dll]
             64         3  System.Reflection.MemberFilter  [System.Private.CoreLib.dll]
             64         3  System.Threading.ThreadStart  [System.Private.CoreLib.dll]
             64         3  System.Predicate<System.String>  [System.Private.CoreLib.dll]
             64         3  MS.Internal.AppModel.StreamToObjectFactoryDelegateCore  [PresentationFramework.dll]
             64         3  System.EventHandler<System.Windows.Markup.XamlSetMarkupExtensionEventArgs>  [System.Private.CoreLib.dll]
             64         3  System.EventHandler<System.Windows.Markup.XamlSetTypeConverterEventArgs>  [System.Private.CoreLib.dll]
             64         3  System.Threading.WaitCallback  [System.Private.CoreLib.dll]
             64         3  System.Xaml.Schema.BuiltInValueConverter<System.ComponentModel.TypeConverter>  [System.Xaml.dll]
             64         3  System.Func<System.ComponentModel.TypeConverter>  [System.Private.CoreLib.dll]
             64         3  System.Drawing.Font  [System.Drawing.Common.dll]
             64         3  System.Func<System.Object,System.Boolean>  [System.Private.CoreLib.dll]
             64         3  System.Windows.Baml2006.Baml2006ReaderContext  [PresentationFramework.dll]
             64         3  System.Xaml.XamlNodeQueue  [System.Xaml.dll]
             64         3  System.Xaml.XamlNodeNextDelegate  [System.Xaml.dll]
             64         3  System.Xaml.ReaderDelegate  [System.Xaml.dll]
             64         3  System.Windows.Baml2006.SharedStream  [PresentationFramework.dll]
             64         3  System.ComponentModel.CancelEventHandler  [System.ComponentModel.TypeConverter.dll]
             64         3  System.Windows.GetReadOnlyValueCallback  [WindowsBase.dll]
             64         3  System.Windows.Controls.FindToolTipEventHandler  [PresentationFramework.dll]
             64         3  System.Windows.RequestBringIntoViewEventHandler  [PresentationFramework.dll]
             64         3  System.Windows.Documents.TextContainerChangedEventHandler  [PresentationFramework.dll]
             64         3  System.Collections.SortedList  [System.Collections.NonGeneric.dll]
             64         2  System.Action<System.Threading.AsyncLocalValueChangedArgs<System.Globalization.CultureInfo>>  [System.Private.CoreLib.dll]
             64         2  System.Globalization.TextInfo  [System.Private.CoreLib.dll]
             64         2  System.Threading.TimerCallback  [System.Private.CoreLib.dll]
             64         2  System.Func<SwitchBlade.Contracts.WindowItem,System.String>  [System.Private.CoreLib.dll]
             64         2  System.Windows.ReadOnlyFrameworkPropertyMetadata  [PresentationFramework.dll]
             64         2  System.Windows.AlternativeExpressionStorageCallback  [WindowsBase.dll]
             64         2  System.Windows.VisitedCallback<System.Windows.TreeChangeInfo>  [PresentationFramework.dll]
             64         2  System.Windows.FreezeValueCallback  [WindowsBase.dll]
             64         2  MS.Utility.FrugalMapIterationCallback  [WindowsBase.dll]
             64         2  System.Func<System.Reflection.PropertyInfo,System.Boolean>  [System.Private.CoreLib.dll]
             64         2  MS.Internal.Equals  [PresentationCore.dll]
             64         2  System.Func<System.Collections.Hashtable>  [System.Private.CoreLib.dll]
             64         2  System.Collections.Generic.SortedList<System.IO.Packaging.PackUriHelper+ValidatedPartUri,System.IO.Packaging.PackagePart>  [System.Collections.dll]
             64         2  System.Configuration.SectionInput  [System.Configuration.ConfigurationManager.dll]
             64         2  System.Func<System.Windows.Baml2006.WpfSharedXamlSchemaContext>  [System.Private.CoreLib.dll]
             64         2  System.Windows.ResourceDictionaryCollection  [PresentationFramework.dll]
             64         2  System.IO.MemoryStream  [System.Private.CoreLib.dll]
             64         2  Node<System.ValueTuple<System.String,System.Type,System.Reflection.MemberInfo>,System.Text.Json.Serialization.Metadata.ReflectionEmitCachingMemberAccessor+Cache+CacheEntry<System.ValueTuple<System.String,System.Type,System.Reflection.MemberInfo>>>  [System.Collections.Concurrent.dll]
             64         2  Windows.Win32.UI.WindowsAndMessaging.WNDPROC  [System.Windows.Forms.Primitives.dll]
             64         2  Microsoft.Win32.UserPreferenceChangingEventHandler  [Microsoft.Win32.SystemEvents.dll]
             64         2  System.Windows.Forms.GiveFeedbackEventHandler  [System.Windows.Forms.dll]
             64         2  System.Windows.Forms.KeyPressEventHandler  [System.Windows.Forms.dll]
             64         2  System.Windows.Forms.PaintEventHandler  [System.Windows.Forms.dll]
             64         2  System.Windows.Forms.QueryAccessibilityHelpEventHandler  [System.Windows.Forms.dll]
             64         2  System.Windows.Forms.QueryContinueDragEventHandler  [System.Windows.Forms.dll]
             64         2  ToolStripMenuItemInternalLayout  [System.Windows.Forms.dll]
             64         2  System.Windows.Input.CommandDeviceEventHandler  [PresentationCore.dll]
             64         2  System.EventHandler<System.Windows.Input.ManipulationInertiaStartingEventArgs>  [System.Private.CoreLib.dll]
             64         2  System.EventHandler<System.Windows.Input.ManipulationCompletedEventArgs>  [System.Private.CoreLib.dll]
             64         2  System.Func<System.Boolean,System.Boolean>  [System.Private.CoreLib.dll]
             64         2  System.ComponentModel.PropertyDescriptorCollection  [System.ComponentModel.TypeConverter.dll]
             64         2  System.Windows.Documents.HighlightChangedEventHandler  [PresentationFramework.dll]
             64         2  System.Windows.SizeChangedEventHandler  [PresentationFramework.dll]
             64         2  System.EventHandler<SwitchBlade.Contracts.WindowItem>  [System.Private.CoreLib.dll]
             64         1  System.Buffers.SpanFunc<System.Char,System.String,System.Globalization.CalendarId,System.Globalization.CalendarDataType,Interop+Globalization+ResultCode>  [System.Private.CoreLib.dll]
             64         1  System.Action<System.Object>  [System.Private.CoreLib.dll]
             64         1  WorkStealingQueue[]  [System.Private.CoreLib.dll]
             64         1  System.Action<System.Object,System.Threading.CancellationToken>  [System.Private.CoreLib.dll]
             64         1  System.Threading.SendOrPostCallback  [System.Private.CoreLib.dll]
             64         1  System.ResolveEventHandler  [System.Private.CoreLib.dll]
             64         1  System.Collections.Generic.HashSet<System.RuntimeType>  [System.Private.CoreLib.dll]
             64         1  FindTransform<System.String>  [System.Private.CoreLib.dll]
             64         1  System.Func<SwitchBlade.Contracts.WindowItem,SwitchBlade.Contracts.IWindowProvider>  [System.Private.CoreLib.dll]
             64         1  System.Func<System.String,System.Windows.Media.ImageSource>  [System.Private.CoreLib.dll]
             64         1  System.Func<System.IServiceProvider,SwitchBlade.Services.ISettingsService>  [System.Private.CoreLib.dll]
             64         1  System.Func<System.IServiceProvider,SwitchBlade.Contracts.IPluginContext>  [System.Private.CoreLib.dll]
             64         1  System.Func<System.IServiceProvider,SwitchBlade.Core.IWindowSearchService>  [System.Private.CoreLib.dll]
             64         1  System.Func<System.IServiceProvider,SwitchBlade.Services.IWindowOrchestrationService>  [System.Private.CoreLib.dll]
             64         1  System.Func<System.IServiceProvider,SwitchBlade.ViewModels.MainViewModel>  [System.Private.CoreLib.dll]
             64         1  System.Func<System.IServiceProvider,SwitchBlade.ViewModels.SettingsViewModel>  [System.Private.CoreLib.dll]
             64         1  System.Func<System.Type,System.Boolean>  [System.Private.CoreLib.dll]
             64         1  System.Func<SwitchBlade.Contracts.WindowItem,System.Int64>  [System.Private.CoreLib.dll]
             64         1  System.Windows.VisitedCallback<System.Windows.BroadcastEventHelper+BroadcastEventData>  [PresentationFramework.dll]
             64         1  System.Windows.VisitedCallback<System.Windows.ResourcesChangeInfo>  [PresentationFramework.dll]
             64         1  System.Windows.VisitedCallback<System.Windows.InheritablePropertyChangeInfo>  [PresentationFramework.dll]
             64         1  ScrollTracingInfo  [PresentationFramework.dll]
             64         1  System.Func<System.Windows.FrameworkTemplate+Frame>  [System.Private.CoreLib.dll]
             64         1  System.Func<MS.Internal.DpiUtil+HwndDpiInfo,System.Boolean>  [System.Private.CoreLib.dll]
             64         1  System.Func<System.Windows.Baml2006.Baml2006ReaderFrame>  [System.Private.CoreLib.dll]
             64         1  System.Func<System.Object,System.Windows.Data.CollectionView>  [System.Private.CoreLib.dll]
             64         1  System.Func<System.Windows.Markup.WpfXamlFrame>  [System.Private.CoreLib.dll]
             64         1  System.Func<System.Windows.DependencyObject,System.Object,System.Windows.DependencyObject,System.Boolean>  [System.Private.CoreLib.dll]
             64         1  System.Func<System.Windows.TemplateContent+Frame>  [System.Private.CoreLib.dll]
             64         1  EtwEnableCallback  [WindowsBase.dll]
             64         1  System.ComponentModel.RefreshEventHandler  [System.ComponentModel.TypeConverter.dll]
             64         1  System.Func<System.Reflection.PropertyInfo,System.String>  [System.Private.CoreLib.dll]
             64         1  System.Func<MS.Internal.Xaml.Context.ObjectWriterFrame>  [System.Private.CoreLib.dll]
             64         1  MS.Internal.SecurityCriticalData<MS.Internal.Classification+CombiningMarksClassificationData>  [WindowsBase.dll]
             64         1  System.Windows.ReadOnlyPropertyMetadata  [PresentationCore.dll]
             64         1  AncestorChangedEventHandler  [PresentationCore.dll]
             64         1  System.Windows.UncommonField<System.Nullable<System.Windows.Rect>>  [WindowsBase.dll]
             64         1  MS.Internal.Text.TextInterface.CreateTextAnalysisSink  [DirectWriteForwarder.dll]
             64         1  MS.Internal.Text.TextInterface.GetScriptAnalysisList  [DirectWriteForwarder.dll]
             64         1  MS.Internal.Text.TextInterface.GetNumberSubstitutionList  [DirectWriteForwarder.dll]
             64         1  MS.Internal.Text.TextInterface.CreateTextAnalysisSource  [DirectWriteForwarder.dll]
             64         1  System.Action<System.Windows.DependencyObject>  [System.Private.CoreLib.dll]
             64         1  <CppImplementationDetails>.NEWOS2_CONTROL$$BY0A@E  [DirectWriteForwarder.dll]
             64         1  <CppImplementationDetails>.OS2_CONTROL$$BY0A@E  [DirectWriteForwarder.dll]
             64         1  System.Func<Microsoft.Extensions.DependencyInjection.ServiceLookup.ServiceIdentifier,System.Object>  [System.Private.CoreLib.dll]
             64         1  System.Comparison<System.Reflection.ConstructorInfo>  [System.Private.CoreLib.dll]
             64         1  System.Buffers.SpanAction<System.Char,System.ReadOnlySpan<System.Char>>  [System.Private.CoreLib.dll]
             64         1  System.Configuration.ClientConfigurationSystem  [System.Configuration.ConfigurationManager.dll]
             64         1  System.Func<System.Collections.Generic.Dictionary<System.Object,System.ComponentModel.ReflectTypeDescriptionProvider+IntrinsicTypeConverterData>>  [System.Private.CoreLib.dll]
             64         1  Microsoft.Win32.UserPreferenceChangedEventHandler  [Microsoft.Win32.SystemEvents.dll]
             64         1  System.Func<System.Type,System.Text.Json.JsonSerializerOptions+CachingContext,System.Text.Json.JsonSerializerOptions+CachingContext+CacheEntry>  [System.Private.CoreLib.dll]
             64         1  System.Func<Microsoft.Extensions.DependencyInjection.ServiceLookup.ServiceCacheKey,Microsoft.Extensions.DependencyInjection.ServiceLookup.ServiceCallSite,Microsoft.Extensions.DependencyInjection.ServiceLookup.ILEmitResolverBuilder+GeneratedMethod>  [System.Private.CoreLib.dll]
             64         1  System.Func<Microsoft.Extensions.DependencyInjection.ServiceLookup.ServiceIdentifier,Microsoft.Extensions.DependencyInjection.ServiceProvider+ServiceAccessor>  [System.Private.CoreLib.dll]
             64         1  MS.Internal.AppModel.SiteOfOriginContainer  [PresentationCore.dll]
             64         1  MS.Internal.AppModel.ResourceContainer  [PresentationFramework.dll]
             64         1  CatchHandler  [WindowsBase.dll]
             64         1  FilterHandler  [WindowsBase.dll]
             64         1  System.Configuration.Internal.InternalConfigEventHandler  [System.Configuration.ConfigurationManager.dll]
             64         1  System.Func<System.Reflection.PropertyInfo,System.Reflection.PropertyInfo>  [System.Private.CoreLib.dll]
             64         1  System.Func<System.Boolean>  [System.Private.CoreLib.dll]
             64         1  System.Windows.Baml2006.Baml6Assembly[]  [PresentationFramework.dll]
             64         1  System.Func<System.Collections.ObjectModel.ReadOnlyCollection<System.Xaml.XamlType>>  [System.Private.CoreLib.dll]
             64         1  System.Func<System.Collections.ObjectModel.ReadOnlyCollection<System.Xaml.XamlDirective>>  [System.Private.CoreLib.dll]
             64         1  System.Windows.Threading.DispatcherUnhandledExceptionEventHandler  [WindowsBase.dll]
             64         1  System.Func<System.ValueTuple<System.String,System.Type,System.Reflection.MemberInfo>,System.Func<System.ValueTuple<System.String,System.Type,System.Reflection.MemberInfo>,System.Func<System.Object>>,System.Text.Json.Serialization.Metadata.ReflectionEmitCachingMemberAccessor+Cache+CacheEntry<System.ValueTuple<System.String,System.Type,System.Reflection.MemberInfo>>>  [System.Private.CoreLib.dll]
             64         1  System.Func<System.Collections.Generic.List<System.String>>  [System.Private.CoreLib.dll]
             64         1  StartHelper  [System.Private.CoreLib.dll]
             64         1  System.Collections.Generic.HashSet<System.Windows.Forms.Control>  [System.Private.CoreLib.dll]
             64         1  ConsoleCtrlHandlerRoutine  [Microsoft.Win32.SystemEvents.dll]
             64         1  WndProc  [Microsoft.Win32.SystemEvents.dll]
             64         1  System.Windows.Forms.KeyboardToolTipStateMachine  [System.Windows.Forms.dll]
             64         1  SwitchBlade.Core.WindowFinder  [SwitchBlade.dll]
             64         1  System.EventHandler<SwitchBlade.Services.WindowListUpdatedEventArgs>  [System.Private.CoreLib.dll]
             64         1  System.EventHandler<System.Windows.Input.ManipulationStartingEventArgs>  [System.Private.CoreLib.dll]
             64         1  System.EventHandler<System.Windows.Input.ManipulationStartedEventArgs>  [System.Private.CoreLib.dll]
             64         1  System.EventHandler<System.Windows.Input.ManipulationDeltaEventArgs>  [System.Private.CoreLib.dll]
             64         1  System.EventHandler<System.Windows.Input.ManipulationBoundaryFeedbackEventArgs>  [System.Private.CoreLib.dll]
             64         1  System.Windows.Input.TextCompositionManager  [PresentationCore.dll]
             64         1  MS.Internal.AvTraceEventHandler  [WindowsBase.dll]
             64         1  System.Windows.Controls.Primitives.DragStartedEventHandler  [PresentationFramework.dll]
             64         1  System.Windows.Controls.Primitives.DragDeltaEventHandler  [PresentationFramework.dll]
             64         1  System.Windows.Controls.Primitives.DragCompletedEventHandler  [PresentationFramework.dll]
             64         1  System.Collections.Generic.HashSet<System.Windows.Media.ICompositionTarget>  [System.Private.CoreLib.dll]
             64         1  System.Windows.Media.Animation.ParallelTimeline  [PresentationCore.dll]
             64         1  System.Windows.Input.AccessKeyPressedEventHandler  [PresentationCore.dll]
             64         1  System.Windows.Input.InputLanguageEventHandler  [PresentationCore.dll]
             64         1  System.Windows.Documents.TextTreeTextBlock  [PresentationFramework.dll]
