      5,594,419  GC Heap bytes
         63,830  GC Heap objects

   Object Bytes     Count  Type
            704         1  Entry<Microsoft.Extensions.DependencyInjection.ServiceLookup.ServiceIdentifier,Microsoft.Extensions.DependencyInjection.ServiceLookup.CallSiteFactory+ServiceDescriptorCacheItem>[]  [System.Private.CoreLib.dll]
            584         1  RoleCtrlType[]  [UIAutomationClientsideProviders.dll]
            584         1  System.Windows.Controls.VirtualizingStackPanel  [PresentationFramework.dll]
            552         2  System.Windows.SourceItem[]  [PresentationCore.dll]
            536         2  Slot<System.Object>[]  [System.Private.CoreLib.dll]
            536         1  System.WeakReference<System.Text.Json.JsonSerializerOptions+CachingContext>[]  [System.Private.CoreLib.dll]
            520         1  System.Threading.PortableThreadPool  [System.Private.CoreLib.dll]
            468         1  Entry<System.Char,System.Boolean>[]  [System.Private.CoreLib.dll]
            464        84  System.Windows.Controls.TextBlock  [PresentationFramework.dll]
            464         1  System.Windows.Controls.ListBox  [PresentationFramework.dll]
            456         9  System.Buffers.SharedArrayPoolThreadLocalArray[]  [System.Private.CoreLib.dll]
            456         2  System.Windows.Dependent[]  [WindowsBase.dll]
            456         1  System.Windows.RouteItem[]  [PresentationCore.dll]
            448         6  System.Globalization.CultureData  [System.Private.CoreLib.dll]
            440         1  System.Windows.Controls.TextBoxView  [PresentationFramework.dll]
            432         3  Entry<System.String,System.Boolean>[]  [System.Private.CoreLib.dll]
            432         2  System.Windows.Controls.ScrollViewer  [PresentationFramework.dll]
            432         1  Entry<System.String,System.Object>[]  [System.Private.CoreLib.dll]
            400         2  System.Globalization.DateTimeFormatInfo  [System.Private.CoreLib.dll]
            400         1  System.Diagnostics.Tracing.RuntimeEventSource  [System.Private.CoreLib.dll]
            400         1  System.Windows.Media.MediaContext  [PresentationCore.dll]
            400         1  System.Windows.Controls.TextBox  [PresentationFramework.dll]
            392        25  System.Windows.Controls.Grid  [PresentationFramework.dll]
            388         1  System.Windows.Media.PixelFormat[]  [PresentationCore.dll]
            384         4  System.Windows.Controls.Primitives.ScrollBar  [PresentationFramework.dll]
            384         1  System.Windows.Input.StylusWisp.WispLogic  [PresentationCore.dll]
            384         1  System.Windows.Controls.Primitives.Thumb  [PresentationFramework.dll]
            368        23  System.Windows.DependencyProperty[]  [WindowsBase.dll]
            368         2  System.Windows.Shapes.Rectangle  [PresentationFramework.dll]
            368         2  System.Windows.Controls.ScrollContentPresenter  [PresentationFramework.dll]
            368         1  System.Windows.Controls.Primitives.Track  [PresentationFramework.dll]
            360        33  System.Windows.Controls.StackPanel  [PresentationFramework.dll]
            360         1  System.Text.Json.Serialization.Metadata.JsonTypeInfo<System.Collections.Generic.List<System.String>>  [System.Text.Json.dll]
            360         1  System.Text.Json.Serialization.Metadata.JsonTypeInfo<System.String>  [System.Text.Json.dll]
            360         1  SwitchBlade.Views.Components.ResultList  [SwitchBlade.dll]
            352         3  System.Windows.Forms.ToolStripMenuItem  [System.Windows.Forms.dll]
            352         1  SwitchBlade.Views.Components.PreviewPanel  [SwitchBlade.dll]
            352         1  System.Windows.Controls.Canvas  [PresentationFramework.dll]
            344        16  System.Windows.Controls.ListBoxItem  [PresentationFramework.dll]
            344         6  System.Windows.Controls.ContentPresenter  [PresentationFramework.dll]
            344         3  System.Windows.Documents.AdornerLayer  [PresentationFramework.dll]
            344         2  System.Windows.Controls.Primitives.RepeatButton  [PresentationFramework.dll]
            344         1  SwitchBlade.Views.Components.SearchBar  [SwitchBlade.dll]
            344         1  System.Windows.Controls.ItemsPresenter  [PresentationFramework.dll]
            336        46  System.Windows.Controls.Border  [PresentationFramework.dll]
            336        16  System.Windows.Controls.Image  [PresentationFramework.dll]
            336         3  System.Windows.Shapes.Path  [PresentationFramework.dll]
            336         1  System.Windows.Documents.AdornerDecorator  [PresentationFramework.dll]
            328         1  System.Windows.Forms.ToolStripGrip  [System.Windows.Forms.dll]
            320         4  System.Windows.Media.SolidColorBrush[]  [PresentationCore.dll]
            320         1  VolatileNode<Microsoft.Extensions.DependencyInjection.ServiceLookup.ServiceCacheKey,Microsoft.Extensions.DependencyInjection.ServiceLookup.ILEmitResolverBuilder+GeneratedMethod>[]  [System.Collections.Concurrent.dll]
            320         1  VolatileNode<Microsoft.Extensions.DependencyInjection.ServiceLookup.ServiceCacheKey,Microsoft.Extensions.DependencyInjection.ServiceLookup.ServiceCallSite>[]  [System.Collections.Concurrent.dll]
            320         1  VolatileNode<System.Type,System.Text.Json.JsonSerializerOptions+CachingContext+CacheEntry>[]  [System.Collections.Concurrent.dll]
            320         1  VolatileNode<System.ValueTuple<System.String,System.Type,System.Reflection.MemberInfo>,System.Text.Json.Serialization.Metadata.ReflectionEmitCachingMemberAccessor+Cache+CacheEntry<System.ValueTuple<System.String,System.Type,System.Reflection.MemberInfo>>>[]  [System.Collections.Concurrent.dll]
            320         1  VolatileNode<System.Int32,System.Drawing.Font>[]  [System.Collections.Concurrent.dll]
            320         1  VolatileNode<System.Type,System.ComponentModel.TypeDescriptor+TypeDescriptionNode>[]  [System.Collections.Concurrent.dll]
            320         1  VolatileNode<System.Type,System.ComponentModel.ReflectTypeDescriptionProvider+ReflectedTypeData>[]  [System.Collections.Concurrent.dll]
            320         1  VolatileNode<System.UInt32,System.String>[]  [System.Collections.Concurrent.dll]
            312         3  System.Globalization.NumberFormatInfo  [System.Private.CoreLib.dll]
            312         1  MS.Internal.WindowsRuntime.Windows.UI.ViewManagement.UISettings  [PresentationCore.dll]
            312         1  System.Windows.Interop.HwndSource  [PresentationCore.dll]
            312         1  System.Windows.Interop.HwndTarget  [PresentationCore.dll]
            304         1  System.Windows.Media.Animation.ClockGroup  [PresentationCore.dll]
            304         1  System.Windows.Data.ListCollectionView  [PresentationFramework.dll]
            296         3  Entry<System.String>[]  [System.Private.CoreLib.dll]
